block_id,anchor_date,end_date,start_period,end_period,past_n,future_n,past_market_brier,past_model_brier,past_adv,past_trusted,future_horse_win_rate,future_net_pl_5pct,future_pot_5pct,future_rol_5pct,future_maxdd_5pct,future_net_pl_7pct,future_pot_7pct,future_rol_7pct,future_maxdd_7pct,future_profitable_5pct,future_profitable_7pct
0,2023-04-19,2023-05-19,2023,2023,50,20,0.2338580143454351,0.2582897185561391,-0.02443170421070398,False,0.5,-15.938871126000002,-0.7969435563000001,-0.3049690627156755,17.308871126,-16.138871126,-0.8069435563,-0.3087957962441021,17.448871126000004,False,False
1,2023-05-20,2023-06-14,2023,2023,50,21,0.23609902727433402,0.26450283159559357,-0.02840380432125955,False,0.38095238095238093,-7.216325859,-0.3436345647142857,-0.13995505028926702,9.384260175000001,-7.476325859000001,-0.35601551709523815,-0.14499754889398664,9.384260175,False,False
2,2023-06-17,2023-07-26,2023,2023,50,20,0.24885546040737527,0.28438703043813507,-0.035531570030759796,False,0.25,3.743881904,0.18719409520000002,0.07294466236230396,3.9489852960000005,3.4438819039999977,0.1721940951999999,0.06709955312279751,3.9489852959999996,True,True
3,2023-07-29,2023-08-30,2023,2023,50,20,0.23336316124211076,0.2608833634149332,-0.027520202172822417,False,0.3,0.9023081529999994,0.045115407649999974,0.018860814755694545,5.436277024,0.6223081529999985,0.031115407649999927,0.013008015893093009,5.536277024000001,True,True
4,2023-09-02,2023-10-11,2023,2023,50,20,0.20669002729194272,0.22678887205262557,-0.020098844760682855,False,0.3,-1.8931327950000003,-0.09465663975000002,-0.03918184696979493,7.763132795000001,-2.1731327950000017,-0.10865663975000009,-0.04497695927280832,7.803132795000002,False,False
5,2023-10-18,2023-11-11,2023,2023,50,20,0.20461280149584207,0.22107213378915191,-0.016459332293309842,False,0.35,-1.8999999999999997,-0.09499999999999999,-0.04279279279279279,6.8999999999999995,-2.16,-0.10800000000000001,-0.04864864864864866,7.000000000000001,False,False
6,2023-11-12,2023-12-09,2023,2023,50,20,0.2148585955620852,0.23006432719948056,-0.015205731637395359,False,0.35,-0.7200000000000006,-0.03600000000000003,-0.017357762777242058,6.27,-0.9800000000000004,-0.04900000000000002,-0.023625843780135013,6.27,False,False
7,2023-12-10,2024-01-03,2023,2024,50,20,0.21118959854076233,0.2173245358000728,-0.006134937259310469,False,0.35,-2.709999999999999,-0.13549999999999995,-0.054637096774193546,8.409999999999998,-2.9700000000000015,-0.14850000000000008,-0.05987903225806456,8.550000000000002,False,False
8,2024-01-13,2024-02-10,2024,2024,50,21,0.20660544609578316,0.21874382054563973,-0.012138374449856576,False,0.38095238095238093,-6.529999999999999,-0.3109523809523809,-0.12492825712645877,6.529999999999999,-6.790000000000003,-0.3233333333333335,-0.12990242969198398,6.790000000000001,False,False
9,2024-02-11,2024-03-09,2024,2024,50,21,0.22952509930534254,0.2538384464353561,-0.02431334713001354,False,0.42857142857142855,-6.389999999999999,-0.3042857142857142,-0.14808806488991885,10.77,-6.630000000000003,-0.31571428571428584,-0.15365005793742764,10.810000000000002,False,False
