month,period,n,horse_win_rate,pot_5pct,pot_7pct
2023-01,2023,11,0.45454545454545453,-0.41909462299999994,-0.43000371390909103
2023-02,2023,16,0.4375,-0.5220451735,-0.5332951735
2023-03,2023,12,0.25,0.002229707166666669,-0.012770292833333382
2023-04,2023,20,0.35,-0.16258691214999996,-0.17558691215000008
2023-05,2023,20,0.45,-0.6782735667,-0.6892735667000001
2023-06,2023,20,0.35,-0.19799630120000006,-0.2109963012000001
2023-07,2023,15,0.2,0.3646365168666667,0.3486365168666666
2023-08,2023,17,0.35294117647058826,-0.11457010864705883,-0.1275112851176472
2023-09,2023,13,0.38461538461538464,-0.3625486765384615,-0.374856368846154
2023-10,2023,21,0.3333333333333333,-0.05857142857142852,-0.07190476190476193
2023-11,2023,18,0.2777777777777778,0.11722222222222219,0.1027777777777777
2023-12,2023,25,0.4,-0.24960000000000002,-0.2616
2024-01,2024,12,0.25,0.11666666666666663,0.10166666666666664
2024-02,2024,25,0.4,-0.3256,-0.33759999999999996
2024-03,2024,27,0.48148148148148145,-0.46703703703703714,-0.4774074074074075
2024-04,2024,10,0.3,-0.038000000000000055,-0.05200000000000007
2024-05,2024,10,0.2,0.44299999999999995,0.42699999999999994
2024-06,2024,13,0.07692307692307693,0.8053846153846153,0.7869230769230768
2024-07,2024,9,0.2222222222222222,0.19999999999999996,0.18444444444444438
2024-08,2024,8,0.25,0.21374999999999994,0.19874999999999993
2024-09,2024,8,0.375,-0.04375000000000007,-0.05625000000000002
2024-10,2024,12,0.4166666666666667,-0.30250000000000005,-0.31416666666666676
2024-11,2024,20,0.25,0.1295,0.11449999999999996
2024-12,2024,22,0.22727272727272727,0.26772727272727276,0.2522727272727272
2025-01,2025,13,0.38461538461538464,-0.08461538461538463,-0.09692307692307699
2025-02,2025,17,0.47058823529411764,-0.3970588235294118,-0.4076470588235295
2025-03,2025,23,0.30434782608695654,-0.07869565217391308,-0.09260869565217393
2025-04,2025,17,0.35294117647058826,-0.2994117647058824,-0.3123529411764706
2025-05,2025,17,0.11764705882352941,0.5617647058823529,0.5441176470588235
2025-06,2025,8,0.375,-0.0975,-0.11000000000000001
2025-07,2025,7,0.2857142857142857,-0.021428571428571415,-0.035714285714285775
2025-08,2025,12,0.08333333333333333,0.6483333333333333,0.6299999999999999
2025-09,2025,15,0.26666666666666666,-0.017999999999999985,-0.03266666666666678
2025-10,2025,15,0.2,0.26466666666666666,0.24866666666666665
2025-11,2025,14,0.14285714285714285,0.4028571428571427,0.38571428571428557
2025-12,2025,13,0.0,0.9499999999999997,0.9299999999999998
2026-01,2026_JAN_JUL,10,0.2,0.433,0.4169999999999999
2026-02,2026_JAN_JUL,10,0.1,0.696,0.6779999999999999
2026-03,2026_JAN_JUL,10,0.2,0.27199999999999996,0.25599999999999995
2026-04,2026_JAN_JUL,8,0.25,0.17374999999999996,0.15874999999999995
2026-05,2026_JAN_JUL,15,0.3333333333333333,-0.15666666666666673,-0.17000000000000007
2026-06,2026_JAN_JUL,5,0.0,0.95,0.9299999999999999
2026-07,2026_JAN_JUL,11,0.2727272727272727,0.028181818181818145,0.013636363636363587
