month,n,markets,net_pl,pot,rol,maxdd
2025-05,2,2,1.8599999999999999,0.9299999999999999,0.384297520661157,-0.9299999999999999
2025-06,4,4,-4.93,-1.2325,-0.5725900116144018,5.859999999999999
2025-08,3,3,2.79,0.93,0.336144578313253,-0.9299999999999999
2025-09,10,10,-3.5500000000000007,-0.3550000000000001,-0.15522518583296901,6.34
2025-10,4,4,3.7199999999999998,0.9299999999999999,0.392819429778247,-0.9299999999999997
2025-11,12,12,3.299999999999998,0.27499999999999986,0.09963768115942023,3.4000000000000004
2025-12,11,11,6.849999999999999,0.6227272727272726,0.26285495011511895,2.45
2026-01,10,10,6.809999999999999,0.6809999999999998,0.30606741573033697,1.56
2026-02,7,7,4.1,0.5857142857142856,0.2286670384829894,1.48
2026-03,8,8,1.3199999999999998,0.16499999999999998,0.0672782874617737,2.8
2026-04,7,7,-0.6499999999999999,-0.09285714285714285,-0.04359490274983232,3.44
2026-05,12,12,-2.52,-0.21,-0.07680585187442852,9.03
2026-06,4,4,3.7199999999999998,0.9299999999999999,0.39574468085106385,-0.9299999999999997
2026-07,7,7,0.0499999999999996,0.007142857142857085,0.0030339805825242475,2.74
