removed,n,markets,net_pl,pot,rol,maxdd
2025-05,99,99,21.00999999999999,0.21222222222222212,0.08687921267005745,9.030000000000001
2025-06,97,97,27.79999999999999,0.28659793814432977,0.11677728303788958,9.030000000000001
2025-08,98,98,20.07999999999999,0.20489795918367337,0.08423878843814235,10.34
2025-09,91,91,26.419999999999987,0.2903296703296702,0.1180518319928507,9.029999999999998
2025-10,97,97,19.14999999999999,0.19742268041237104,0.08073355817875208,9.029999999999998
2025-11,89,89,19.569999999999993,0.21988764044943812,0.09164130180285644,9.029999999999998
2025-12,90,90,16.019999999999996,0.17799999999999996,0.07261683513893294,9.03
2026-01,91,91,16.05999999999999,0.1764835164835164,0.07156224935389,9.03
2026-02,94,94,18.769999999999992,0.1996808510638297,0.08205823205386026,9.030000000000001
2026-03,93,93,21.549999999999994,0.23172043010752683,0.09491301475445936,9.030000000000001
2026-04,94,94,23.519999999999992,0.25021276595744674,0.10148429409734205,9.030000000000001
2026-05,89,89,25.389999999999986,0.28528089887640434,0.11872252875713078,7.55
2026-06,97,97,19.14999999999999,0.19742268041237104,0.0807097399586968,11.769999999999996
2026-07,94,94,22.819999999999986,0.24276595744680837,0.0991354967635431,9.029999999999998
