window,date,period,new_state,hist_brier_adv,hist_market_brier,hist_model_brier
30,2023-11-15,2023,MODEL_TRUSTED,0.002723697625416549,0.19428334844915346,0.1915596508237369
30,2023-11-18,2023,MODEL_NOT_TRUSTED,-0.005614791923507417,0.20458599578154804,0.21020078770505546
30,2023-12-09,2023,MODEL_TRUSTED,0.003247952162193507,0.19731875366259458,0.19407080150040107
30,2023-12-10,2023,MODEL_NOT_TRUSTED,-0.003004939012499347,0.20220317374576335,0.2052081127582627
30,2024-06-26,2024,MODEL_TRUSTED,0.010540556247824157,0.16261784768586932,0.15207729143804516
30,2024-10-07,2024,MODEL_NOT_TRUSTED,-0.0027590296146680626,0.18318734831017727,0.18594637792484534
30,2024-12-27,2024,MODEL_TRUSTED,0.005104049078586054,0.1800985710716781,0.17499452199309204
30,2025-01-04,2025,MODEL_NOT_TRUSTED,-0.0018450361410399518,0.19051870841631044,0.1923637445573504
30,2025-01-05,2025,MODEL_TRUSTED,0.00320014322471307,0.17947993226608616,0.1762797890413731
30,2025-01-08,2025,MODEL_NOT_TRUSTED,-0.003317495768229345,0.19205743888294818,0.19537493465117753
30,2025-02-02,2025,MODEL_TRUSTED,0.0019170096703803874,0.14531368155558225,0.14339667188520186
30,2025-02-08,2025,MODEL_NOT_TRUSTED,-0.007093910313561241,0.1564520981585367,0.16354600847209794
30,2025-05-03,2025,MODEL_TRUSTED,0.0013232251149350172,0.20368248584309526,0.20235926072816024
30,2025-05-11,2025,MODEL_NOT_TRUSTED,-0.00202663388609603,0.20070396809975408,0.2027306019858501
30,2025-05-24,2025,MODEL_TRUSTED,0.0014963961119300595,0.1852822772628283,0.18378588115089825
30,2025-06-01,2025,MODEL_NOT_TRUSTED,-0.005045618956339232,0.20071498004669236,0.2057605990030316
30,2025-06-27,2025,MODEL_TRUSTED,0.0009159309679338257,0.16859973471584244,0.16768380374790862
30,2025-06-28,2025,MODEL_NOT_TRUSTED,-0.006994294998478701,0.17979403492113163,0.18678832991961034
30,2025-07-12,2025,MODEL_TRUSTED,0.005316068629965864,0.14596904735910732,0.14065297872914145
30,2025-07-26,2025,MODEL_NOT_TRUSTED,-0.0037779177559831845,0.17597955179284425,0.17975746954882743
30,2025-08-09,2025,MODEL_TRUSTED,4.263713251773105e-05,0.17860521650666236,0.17856257937414463
30,2025-08-20,2025,MODEL_NOT_TRUSTED,-0.0022205525415208704,0.19848046780912038,0.20070102035064125
30,2025-09-06,2025,MODEL_TRUSTED,0.0026992729471209675,0.18050289780649045,0.17780362485936949
30,2025-10-19,2025,MODEL_NOT_TRUSTED,-0.001624824682524978,0.21065027731575892,0.2122751019982839
30,2025-10-26,2025,MODEL_TRUSTED,0.00011249287327294577,0.19149724205297616,0.19138474917970322
30,2026-05-27,2026_JAN_JUL,MODEL_NOT_TRUSTED,-0.0016666594392290845,0.18052731050641163,0.18219396994564072
30,2026-07-15,2026_JAN_JUL,MODEL_TRUSTED,0.0017487682467229038,0.18530116903337474,0.18355240078665183
30,2026-07-18,2026_JAN_JUL,MODEL_NOT_TRUSTED,-0.005552637418324485,0.1963927048272156,0.2019453422455401
30,2026-07-19,2026_JAN_JUL,MODEL_TRUSTED,0.0011181124828568145,0.1832325485136051,0.18211443603074828
30,2026-07-22,2026_JAN_JUL,MODEL_NOT_TRUSTED,-0.006486696192208374,0.19310938548237142,0.1995960816745798
50,2024-07-20,2024,MODEL_TRUSTED,0.0032626716174963266,0.17779346946208383,0.1745307978445875
50,2024-07-24,2024,MODEL_NOT_TRUSTED,-0.00025230365876025007,0.1875310277962324,0.18778333145499265
50,2024-08-03,2024,MODEL_TRUSTED,0.00036113153526379227,0.17663807580766544,0.17627694427240165
50,2024-10-27,2024,MODEL_NOT_TRUSTED,-0.0004555180266159753,0.17434060762892525,0.17479612565554123
50,2025-05-14,2025,MODEL_TRUSTED,0.0004279141915490281,0.18664946424085685,0.18622155004930782
50,2025-06-07,2025,MODEL_NOT_TRUSTED,-0.0036898037769284298,0.19364559146663896,0.19733539524356739
50,2025-06-11,2025,MODEL_TRUSTED,0.0021891686933594168,0.1904378717961494,0.18824870310279
50,2025-06-28,2025,MODEL_NOT_TRUSTED,-0.003948040561512073,0.19543050179251711,0.1993785423540292
50,2025-08-20,2025,MODEL_TRUSTED,0.0002576198507000249,0.1861211797519233,0.18586355990122327
50,2025-10-01,2025,MODEL_NOT_TRUSTED,-0.000362418888656596,0.1899493980372143,0.1903118169258709
50,2025-10-11,2025,MODEL_TRUSTED,0.0016126554096164702,0.19279034369139975,0.19117768828178328
50,2025-10-17,2025,MODEL_NOT_TRUSTED,-0.0034895230732118476,0.1976990813381859,0.20118860441139774
50,2025-10-24,2025,MODEL_TRUSTED,0.0033359163842967554,0.19334951026729988,0.19001359388300312
100,2024-12-28,2024,MODEL_TRUSTED,0.0007044816954282773,0.18223700381136723,0.18153252211593895
100,2025-01-08,2025,MODEL_NOT_TRUSTED,-0.0013344010642798998,0.18086842693484603,0.18220282799912593
100,2025-10-11,2025,MODEL_TRUSTED,0.001064896669983273,0.18997387248851008,0.1889089758185268
100,2025-10-19,2025,MODEL_NOT_TRUSTED,-0.00023371542153083347,0.19288967731963214,0.19312339274116297
100,2025-10-26,2025,MODEL_TRUSTED,0.002514013312610114,0.19121530893995456,0.18870129562734445
