window,period,baseline_n,baseline_pl_5,baseline_pot_5,baseline_pot_7,gated_n,retention,gated_pl_5,gated_pot_5,gated_pot_7,gated_horse_win_rate,blocked_n,blocked_pl_5,blocked_pot_5,blocked_pot_7
30,2023,208,-40.264419633,-0.19357894054326924,-0.2064635559278847,4,0.019230769230769232,-1.6099999999999997,-0.4024999999999999,-0.41250000000000003,0.5,204,-38.654419633,-0.18948244918137255,-0.20242362565196087
30,2024,176,3.1800000000000015,0.018068181818181827,0.0042045454545453645,35,0.19886363636363635,10.119999999999997,0.2891428571428571,0.2737142857142857,0.22857142857142856,141,-6.940000000000001,-0.049219858156028376,-0.06269503546099298
30,2025,171,23.340000000000003,0.13649122807017547,0.1215204678362572,75,0.43859649122807015,13.139999999999997,0.17519999999999997,0.15973333333333326,0.22666666666666666,96,10.2,0.10625,0.09166666666666656
30,2026_JAN_JUL,69,18.109999999999996,0.26246376811594196,0.24681159420289847,54,0.782608695652174,14.479999999999999,0.26814814814814814,0.25259259259259254,0.2222222222222222,15,3.630000000000001,0.24200000000000005,0.22599999999999992
50,2023,208,-40.264419633,-0.19357894054326924,-0.2064635559278847,0,0.0,0.0,,,,208,-40.264419633,-0.19357894054326924,-0.2064635559278847
50,2024,176,3.1800000000000015,0.018068181818181827,0.0042045454545453645,25,0.14204545454545456,-6.430000000000002,-0.2572000000000001,-0.2692,0.4,151,9.61,0.06364238410596026,0.04947019867549656
50,2025,171,23.340000000000003,0.13649122807017547,0.1215204678362572,62,0.36257309941520466,22.059999999999995,0.35580645161290314,0.33935483870967736,0.1774193548387097,109,1.280000000000002,0.011743119266055065,-0.0023853211009175718
50,2026_JAN_JUL,69,18.109999999999996,0.26246376811594196,0.24681159420289847,69,1.0,18.109999999999996,0.26246376811594196,0.24681159420289847,0.21739130434782608,0,0.0,,
100,2023,208,-40.264419633,-0.19357894054326924,-0.2064635559278847,0,0.0,0.0,,,,208,-40.264419633,-0.19357894054326924,-0.2064635559278847
100,2024,176,3.1800000000000015,0.018068181818181827,0.0042045454545453645,3,0.017045454545454544,2.8499999999999996,0.9499999999999998,0.93,0.0,173,0.33000000000000185,0.0019075144508670628,-0.011849710982659046
100,2025,171,23.340000000000003,0.13649122807017547,0.1215204678362572,37,0.21637426900584794,15.049999999999994,0.4067567567567566,0.3899999999999999,0.16216216216216217,134,8.289999999999992,0.061865671641790985,0.047388059701492444
100,2026_JAN_JUL,69,18.109999999999996,0.26246376811594196,0.24681159420289847,69,1.0,18.109999999999996,0.26246376811594196,0.24681159420289847,0.21739130434782608,0,0.0,,
