period,eligible_r2,final_candidate_n,preoff_candidate_n,intersection_n,recall_vs_final,precision_vs_final,jaccard,preoff_lay_mean
2023,1353,208,179,155,0.7451923076923077,0.8659217877094972,0.6681034482758621,6.114966740576498
2024,1360,176,157,144,0.8181818181818182,0.9171974522292994,0.7619047619047619,6.3403897058823535
2025,1242,154,108,89,0.577922077922078,0.8240740740740741,0.5144508670520231,6.16195652173913
2026_JAN_JUL,767,69,55,45,0.6521739130434783,0.8181818181818182,0.569620253164557,6.273520208604954
ALL,4722,607,499,433,0.71334431630972,0.8677354709418837,0.6433878157503715,6.218005082592121
