future_horizon,anchor_date,end_date,start_period,end_period,past_n,future_n,past_market_brier,past_model_brier,past_adv,past_trusted,future_market_brier,future_model_brier,future_adv,future_model_better,sign_correct
20,2023-04-19,2023-05-19,2023,2023,50,20,0.2338580143454351,0.2582897185561391,-0.02443170421070398,False,0.2915914961283116,0.35757634195847,-0.0659848458301584,False,True
20,2023-05-20,2023-06-14,2023,2023,50,21,0.23609902727433402,0.26450283159559357,-0.02840380432125955,False,0.2467562460983937,0.2659790881281695,-0.01922284202977581,False,True
20,2023-06-17,2023-07-26,2023,2023,50,20,0.24885546040737527,0.28438703043813507,-0.035531570030759796,False,0.1800465314468723,0.18589821366546655,-0.005851682218594251,False,True
20,2023-07-29,2023-08-30,2023,2023,50,20,0.23336316124211076,0.2608833634149332,-0.027520202172822417,False,0.195192796836758,0.21586756533127596,-0.020674768494517964,False,True
20,2023-09-02,2023-10-11,2023,2023,50,20,0.20669002729194272,0.22678887205262557,-0.020098844760682855,False,0.2146621529140984,0.22745009460426452,-0.012787941690166116,False,True
20,2023-10-18,2023-11-11,2023,2023,50,20,0.20461280149584207,0.22107213378915191,-0.016459332293309842,False,0.21841830705958354,0.23295463463508898,-0.014536327575505437,False,True
20,2023-11-12,2023-12-09,2023,2023,50,20,0.2148585955620852,0.23006432719948056,-0.015205731637395359,False,0.21797240921328837,0.2272367611303164,-0.00926435191702804,False,True
20,2023-12-10,2024-01-03,2023,2024,50,20,0.21118959854076233,0.2173245358000728,-0.006134937259310469,False,0.21320885462081285,0.23904738222670527,-0.02583852760589242,False,True
20,2024-01-13,2024-02-10,2024,2024,50,21,0.20660544609578316,0.21874382054563973,-0.012138374449856576,False,0.23772558619610987,0.2611050213995423,-0.023379435203432414,False,True
20,2024-02-11,2024-03-09,2024,2024,50,21,0.22952509930534254,0.2538384464353561,-0.02431334713001354,False,0.2471929340260586,0.296629401676985,-0.04943646765092638,False,True
20,2024-03-10,2024-04-01,2024,2024,50,20,0.22435649182696604,0.2527718401533271,-0.028415348326361056,False,0.2549607996451082,0.2919699001459662,-0.03700910050085798,False,True
20,2024-04-03,2024-06-01,2024,2024,50,20,0.25337688479003867,0.29408560512902043,-0.04070872033898176,False,0.19083254494901009,0.18397104697767747,0.00686149797133262,True,False
