date,past_n,past_brier_adv,gate_on,recovered_candidate_n
2026-08-01,50,0.0011826074722739444,True,1
2026-08-02,50,3.9171738314303095e-05,True,0
2026-08-03,50,3.9171738314303095e-05,True,0
2026-08-04,50,3.9171738314303095e-05,True,0
2026-08-05,50,3.9171738314303095e-05,True,0
2026-08-06,50,3.9171738314303095e-05,True,0
2026-08-07,50,3.9171738314303095e-05,True,1
2026-08-08,50,0.0004714598342453191,True,2
2026-08-09,50,0.002318894994408599,True,0
2026-08-10,50,0.002318894994408599,True,0
