date,track,horse,market_id,selection_id,model_odds,bsp,win,model_prob,market_prob,value_calc,model_sqerr,market_sqerr,is_candidate,source
2026-08-01,Morphettville,5. Amalfi Dreamer,1.260546758,101163338,4.59,3.29,0.0,0.2178649237472767,0.303951367781155,-0.0860864440338783,0.047465124999406694,0.09238643397603495,True,BETFAIR_HUB_RACE_RESULTS_BACKING_API
2026-08-07,Mount Gambier,8. Piklemegranmother,1.260855890,101450056,3.8,2.76,0.0,0.2631578947368421,0.3623188405797102,-0.09916094584286811,0.06925207756232686,0.13127494223902544,True,BETFAIR_HUB_RACE_RESULTS_BACKING_API
2026-08-08,Morphettville,2. Chica Astuta,1.260803410,101385077,3.8,2.27,0.0,0.2631578947368421,0.44052863436123346,-0.17737073962439137,0.06925207756232686,0.19406547769217333,True,BETFAIR_HUB_RACE_RESULTS_BACKING_API
2026-08-08,Morphettville,6. Regal Ripper,1.260803437,92161117,7.78,4.0,0.0,0.12853470437017994,0.25,-0.12146529562982006,0.016521170227529556,0.0625,True,BETFAIR_HUB_RACE_RESULTS_BACKING_API
